Google maps href,empresa_nombre_bruto,Estrella,Reseña,categoria_sugerida,direccion_bruta,Sitio Web,telefono_bruto
https://www.google.com/maps/place/CONSTRUCCIONES+CANT%C3%9A+HNOS+S.A.P.I.+DE+C.V./data=!4m7!3m6!1s0x8f567574c65856ad:0x2c38f050a6bef9be!8m2!3d21.0245285!4d-89.6490604!16s%2Fg%2F11qrr32g9g!19sChIJrVZYxnR1Vo8Rvvm-plDwOCw?authuser=0&hl=es&rclk=1,CONSTRUCCIONES CANTÚ HNOS S.A.P.I. DE C.V.,"5,0",-1,Empresa constructora,"Calle 50 #454 x 57a, C. 50 454",Cómo llegar,999 725 4445
https://www.google.com/maps/place/Proyecciones+Civiles+S.A.+de+C.V./data=!4m7!3m6!1s0x8f56715734e24a1f:0xd1fbb44095ea3499!8m2!3d21.0011976!4d-89.6626182!16s%2Fg%2F11cfff8h_!19sChIJH0riNFdxVo8RmTTqlUC0-9E?authuser=0&hl=es&rclk=1,Proyecciones Civiles S.A. de C.V.,"5,0",-3,Empresa constructora,C. 78 No.545,Cómo llegar,999 925 1120
https://www.google.com/maps/place/EDIFICACIONES+MUELLES+Y+CAMINOS+S.A.+DE+C.V./data=!4m7!3m6!1s0x8f56737f130ce865:0xbb9b68b96b2bc30e!8m2!3d20.9940419!4d-89.6640882!16s%2Fg%2F1ptvw7pnt!19sChIJZegME39zVo8RDsMra7lom7s?authuser=0&hl=es&rclk=1,EDIFICACIONES MUELLES Y CAMINOS S.A. DE C.V.,"5,0",-2,Constructor de muelles,Calle 53 X132 y 128 321,Cómo llegar,999 945 5318
https://www.google.com/maps/place/CONCENTRO+INGENIER%C3%8DA+Y+CONTROL/data=!4m7!3m6!1s0x8f567434e3f8ca8f:0x4fc53775b0407a62!8m2!3d21.0438884!4d-89.6414154!16s%2Fg%2F1pt_dt88_!19sChIJj8r44zR0Vo8RYnpAsHU3xU8?authuser=0&hl=es&rclk=1,CONCENTRO INGENIERÍA Y CONTROL,"5,0",-2,Ingeniero civil,"Por 33, C. 50",Sitio web,999 195 0020
https://www.google.com/maps/place/Maya+Constructora+M%C3%A9rida/data=!4m7!3m6!1s0x8f560d1c12bdce91:0xfad5ee4b67ed1a4e!8m2!3d21.0091618!4d-89.6501672!16s%2Fg%2F11tf4300z_!19sChIJkc69EhwNVo8RThrtZ0vu1fo?authuser=0&hl=es&rclk=1,Maya Constructora Mérida,"5,0",-3,Empresa de construcción,"C. 35 Diag. num 311, entre 32 y 34",Sitio web,999 556 4581
https://www.google.com/maps/place/Construtec/data=!4m7!3m6!1s0x8f56741a9d705ab9:0x4e30269743023c28!8m2!3d21.0118896!4d-89.6343458!16s%2Fg%2F1pzs84vtr!19sChIJuVpwnRp0Vo8RKDwCQ5cmME4?authuser=0&hl=es&rclk=1,Construtec,"4,8",-8,Empresa constructora,C. 21 108-C,Cómo llegar,999 981 1585
https://www.google.com/maps/place/Proyectos+y+Construcciones+J+Ibarra/data=!4m7!3m6!1s0x8f5676a6d104e023:0x7ecff9f1f7807590!8m2!3d21.0152561!4d-89.6223412!16s%2Fg%2F11ggzfcy9d!19sChIJI-AE0aZ2Vo8RkHWA9_H5z34?authuser=0&hl=es&rclk=1,Proyectos y Construcciones J Ibarra,"4,8",-8,Empresa de construcción,"Calle 56, Número 347 entre 15 y 17",Cómo llegar,999 945 2676
https://www.google.com/maps/place/Constructora+Nautilus/data=!4m7!3m6!1s0x8f56751952babdcb:0xb58f69a8c5be034f!8m2!3d21.0273451!4d-89.6291949!16s%2Fg%2F11qbbh3v9q!19sChIJy726Uhl1Vo8RTwO-xahpj7U?authuser=0&hl=es&rclk=1,Constructora Nautilus,,,Empresa constructora,C. 22 100,Sitio web,999 101 4557
https://www.google.com/maps/place/Constructora+CMP/data=!4m7!3m6!1s0x8f567505483e5837:0x8c796c26f849214c!8m2!3d21.0050011!4d-89.6428806!16s%2Fg%2F11gyb7lb3y!19sChIJN1g-SAV1Vo8RTCFJ-CZseYw?authuser=0&hl=es&rclk=1,Constructora CMP,"5,0",-2,Empresa constructora,"C. 28? 322, LT chuburna",Cómo llegar,999 290 8547
https://www.google.com/maps/place/Constructora+Tregomsa/data=!4m7!3m6!1s0x8f56747a98fac549:0x4ab506670c9b8f5e!8m2!3d21.0079047!4d-89.6541751!16s%2Fg%2F1vr1xpqt!19sChIJScX6mHp0Vo8RXo-bDGcGtUo?authuser=0&hl=es&rclk=1,Constructora Tregomsa,"3,0",-1,Empresa constructora,C. 23? 384,Sitio web,999 987 9016
